Method,Description,Worst-case,Optimal
`is_empty() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.is_empty>`_,Checks if doubly linked list is empty.,O(1),O(1)
`__len__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__len_\_>`_,Returns the number of nodes in the doubly linked list.,O(1),O(1)
`__repr__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__repr_\_>`_,Represents the doubly linked list as a string.,O(n),O(n)
`__iter__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__iter_\_>`_,Iterates over the doubly linked list instance.,O(n),O(n)
`__eq__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__eq_\_>`_,Checks if two doubly linked lists are equal.,O(min(n;m)),O(min(n;m))
`__ne__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__ne_\_>`_,Checks if two doubly linked lists are not equal.,O(min(n;m)),O(min(n;m))
`__lt__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__lt_\_>`_,Checks if the doubly linked list is < the other.,O(min(n;m)),O(min(n;m))
`__le__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__le_\_>`_,Checks if the doubly linked list is <= the other.,O(min(n;m)),O(min(n;m))
`__gt__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__gt_\_>`_,Checks if the doubly linked list is > the other.,O(min(n;m)),O(min(n;m))
`__ge__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__ge_\_>`_,Checks if the doubly linked list is >= the other.,O(min(n;m)),O(min(n;m))
`__contains__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__contains_\_>`_,Checks the existence of the given item in the list.,O(n),O(n)
`__getitem__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__getitem_\_>`_,Returns the element at a certain index.,O(min(k;n/2)),O(min(k;n/2))
`add_front() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.add_front>`_,Adds the given item at the head of the doubly list.,O(1),O(1)
`add_end() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.add_end>`_,Adds the given item at the tail of the doubly list.,O(1),O(1)
`insert() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.insert>`_,Adds the given item at the given index.,O(min(k;n/2)),O(min(k;n/2))
`__setitem__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__setitem_\_>`_,Replaces the value at the given index with given value.,O(min(k;n/2)),O(min(k;n/2))
`__delitem__() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.__delitem_\_>`_,Deletes the value at the given index.,O(min(k;n/2)),O(min(k;n/2))
`remove_front() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.remove_front>`_,Removes the node at the head of the doubly linked list.,O(1),O(1)
`remove_end() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.remove_end>`_,Removes the node at the tail of the doubly linked list.,O(1),O(1)
`remove() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.remove>`_,Removes the given value if found from the doubly list.,O(n),O(n)
`clear() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.clear>`_,Clears the whole doubly linked list.,O(1),O(1)
`split() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.split>`_,Splits the doubly list into two at the given index.,O(min(k;n/2)),O(min(k;n/2))
`extend() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.extend>`_,Extends the doubly list with another doubly list.,O(1),O(1)
`rotate_left() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.rotate_left>`_,Left-rotates the doubly list by the given value.,O(k),O(k)
`rotate_right() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.rotate_right>`_,Right-rotates the doubly list by the given value.,O(k),O(k)
`reverse() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.reverse>`_,Reverses the doubly linked list.,O(n),O(n)
`to_list() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.to_list>`_,Converts the doubly linked list to normal list.,O(n),O(n)
`count() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.count>`_,Counts the occurrences of the given value in the list.,O(n),O(n)
`copy() <doubly_linked_list.html#extra.lists.doubly_linked_list.DoublyLinkedList.copy>`_,Shallow-copies the doubly linked list.,O(n),O(n)
