Method,Description,Worst-case,Optimal
is_empty(),Checks if the linked list is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the linked list.,O(1),O(1)
__repr__(),Represents the linked list as a string.,O(n),O(n)
__iters__(),Iterates over the linked list instance.,O(n),O(n)
__eq__(),Checks the items equality of the two linked lists.,O(min(n;m)),O(min(n;m))
__ne__(),Checks the items inequality of the two linked lists.,O(min(n;m)),O(min(n;m))
__lt__(),Checks if the linked list is less than the other.,O(min(n;m)),O(min(n;m))
__le__(),Checks if the list is less than or equal the other.,O(min(n;m)),O(min(n;m))
__gt__(),Checks if the linked list is greater than the other.,O(min(n;m)),O(min(n;m))
__gt__(),Checks if the list is greater than or equal the other.,O(min(n;m)),O(min(n;m))
__contains__(),Checks the existence of the given item in the list,O(n),O(n)
__getitem__(),Returns the element at the given index.,O(k),O(k)
add_front(),Adds the given item at the head of the linked list.,O(1),O(1)
add_end(),Adds the given item at the tail of the linked list.,O(n),O(n)
insert(),Adds the given item at the given index.,O(k),O(k)
__setitem__(),Replaces the value at the given index with given value.,O(k),O(k)
__delitem__(),Deletes the value at the given index.,O(n),O(n)
remove_front(),Removes the node at the head of the linked list.,O(1),O(1)
remove_end(),Removes the node at the tail of the linked list.,O(n),O(n)
remove(),Removes the given value from the linked list if found.,O(n),O(n)
clear(),Clears the whole linked list.,O(1),O(1)
split(),Splits the linked list into two at the given index.,O(n),O(n)
extend(),Extends the linked list using another linked list.,O(n),O(n)
rotate_left(),Left-rotates the linked list a given number of times.,O(k%n),O(k%n)
rotate_right(),Right-rotates the linked list a given number of times. ,O(k%n),O(k%n)
reverse(),Reverses the linked list.,O(n),O(n)
to_list(),Converts the linked list to a normal list.,O(n),O(n)
count(),Counts the occurrences of the given value in the list.,O(n), O(n)
copy(),Shallow-copies the linked list.,O(n),O(n)
