Method,Description,Worst-case,Optimal
is_empty(),Checks if the AVL tree is empty.,O(1),O(1)
__len__(),Returns the number of the nodes of the AVL Tree.,O(1),O(1)
__repr__(),Represents the AVL Tree as a string.,O(n),O(n)
__iter__(),Iterates over the AVL Tree.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(h),O(h)
get_height(),Gets the AVL Tree's height.,O(n),O(1)
get_depth(),Gets the AVL Tree's depth.,O(n),O(1)
get_nodes_per_level(),Returns a list of all nodes per level.,O(n),O(n)
is_balanced(),Checks if the AVL Tree is balanced.,O(n),O(1)
is_perfect(),Checks if the AVL Tree is perfect.,O(n),O(1)
is_strict(),Checks if the AVL Tree is strict.,O(n),O(1)
count_leaf_nodes(),Counts all leaf nodes in the tree.,O(n),O(n)
clear(),Clears the whole AVL tree instance.,O(1),O(1)
to_list(),Converts the AVL tree instance to a normal list.,O(n),O(n)
traverse(),Traverses the AVL Tree based on given method.,O(n),O(n)
preorder_traverse(),Traverses the AVL Tree in an pre-order manner.,O(n),O(n)
inorder_traverse(),Traverses the AVL Tree in an in-order manner.,O(n),O(n)
postorder_traverse(),Traverses the AVL Tree in an post-order manner.,O(n),O(n)
breadth_first_traverse(),Traverses the AVL Tree level by level.,O(n),O(n)
depth_first_traverse(),Traverses the AVL Tree in an pre-order manner.,O(n),O(n)
get_min(),Gets the minimum number in the AVL Tree.,O(h),O(h)
get_max(),Gets the maximum number in the AVL Tree.,O(h),O(h)
insert(),Inserts a certain value to the AVL Tree.,O(h),O(h)
remove(),Removes a certain value from the AVL Tree.,O(h),O(h)
