Method,Description,Worst-case,Optimal
is_empty(),Checks if the BST is empty.,O(1),O(1)
__len__(),Returns the number of nodes inside the BST.,O(1),O(1)
__repr__(),Represents the BST.,O(n),O(n)
__iter__(),Iterates over the BST.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(h),O(h)
get_height(),Gets the BST's height.,O(n),O(1)
get_depth(),Gets the BST's depth.,O(n),O(1)
get_nodes_per_level(),Returns a list of all nodes per level.,O(n),O(n)
is_balanced(),Checks if the BST is balanced.,O(n),O(1)
is_perfect(),Checks if the BST is perfect.,O(n),O(1)
is_strict(),Checks if the BST is strict.,O(n),O(1)
count_leaf_nodes(),Counts all leaf nodes in the BST.,O(n),O(n)
clear(),Clears the whole BST instance.,O(1),O(1)
to_list(),Converts the BST instance to a normal list.,O(n),O(n)
traverse(),Traverses the BST based on given method.,O(n),O(n)
preorder_traverse(),Traverses the BST in an pre-order manner.,O(n),O(n)
inorder_traverse(),Traverses the BST in an in-order manner.,O(n),O(n)
postorder_traverse(),Traverses the BST in an post-order manner.,O(n),O(n)
breadth_first_traverse(),Traverses the BST level by level.,O(n),O(n)
depth_first_traverse(),Traverses the BST in an pre-order manner.,O(n),O(n)
get_min(),Gets the minimum number in the BST.,O(h),O(h)
get_max(),Gets the maximum number in the BST.,O(h),O(h)
insert(),Inserts a certain value to the BST.,O(h),O(h)
remove(),Removes a certain value from the BST.,O(h),O(h)
