Method,Description,Worst-case,Optimal
is_empty(),Checks if the Max Heap is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the Max Heap.,O(1),O(1)
__repr__(),Represents the Max Heap as a string.,O(n),O(n)
__iter__(),Iterates over the Max Heap.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(n),O(n)
clear(),Clears the whole Max Heap instance.,O(1),O(1)
to_list(),Converts the Max Heap instance to list.,O(1),O(1)
get_min(),Gets the minimum number in the Max Heap.,O(n),O(n)
get_max(),Gets the maximum number in the Max Heap.,O(1),O(1)
insert(),Inserts a certain value to the Max Heap.,O(h),O(h)
remove(),Removes a certain value from the Max Heap.,O(h),O(h)
remove_min(),Removes the minimum value from the Max Heap.,O(n),O(n)
remove_max(),Removes a certain value from the Max Heap.,O(1),O(1)
