Method,Description,Worst-case,Optimal
is_empty(),Checks if the Min Heap is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the Min Heap.,O(1),O(1)
__repr__(),Represents the Min Heap as a string.,O(n),O(n)
__iter__(),Iterates over the Min Heap.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(n),O(n)
clear(),Clears the whole Min Heap instance.,O(1),O(1)
to_list(),Converts the Min Heap instance to list.,O(1),O(1)
get_min(),Gets the minimum number in the Min Heap.,O(1),O(1)
get_max(),Gets the maximum number in the Min Heap.,O(n),O(n)
insert(),Inserts a certain value to the Min Heap.,O(h),O(h)
remove(),Removes a certain value from the Min Heap.,O(h),O(h)
remove_min(),Removes the minimum value from the Min Heap.,O(1),O(1)
remove_max(),Removes a certain value from the Min Heap.,O(n),O(n)
