Method,Description,Worst-case,Optimal
is_empty(),Checks if the radix trie is empty.,O(1),O(1)
__len__(),Returns the number of nodes inside the radix trie.,O(n),O(1)
__repr__(),Represents the radix trie as a string.,O(n),O(n)
__iter__(),Iterates over the radix trie.,O(n),O(n)
__contains__(),Checks the existence of the given item in the radix trie.,O(m),O(1)
get_height(),Gets the radix trie's height.,O(n),O(n)
get_depth(),Gets the radix trie's depth.,O(1),O(1)
get_nodes_per_level(),Returns a list of all nodes per level found in the radix trie.,O(n),O(n)
count_leaf_nodes(),Counts all leaf nodes in the radix trie.,O(n),O(n)
clear(),Clears the whole radix trie instance.,O(1),O(1)
to_list(),Converts the radix trie instance to list.,O(n),O(n)
auto_complete(),Auto-completes given index from the radix trie.,O(m),O(m)
insert(),Inserts a new word to the radix trie.,O(m),O(m)
remove(),Removes a word from the radix trie.,O(m),O(m)
