Method,Description,Worst-case,Optimal
is_empty(),Checks if the red-black tree is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the red-black tree.,O(1),O(1)
__repr__(),Represents the red-black tree.,O(n),O(n)
__iter__(),Iterates over the red-black tree.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(h),O(h)
get_height(),Gets the red-black tree's height.,O(h),O(1)
get_black_height(),Gets the red-black tree's black height.,O(h),O(1)
get_depth(),Gets the red-black tree's depth.,O(h),O(1)
get_nodes_per_level(),Returns a list of all nodes per level.,O(n),O(n)
is_balanced(),Checks if the red-black tree is balanced.,O(n),O(1)
is_perfect(),Checks if the red-black tree is perfect.,O(n),O(1)
is_strict(),Checks if the red-black tree is strict.,O(n),O(1)
count_leaf_nodes(),Counts all leaf nodes in the red-black tree.,O(n),O(n)
clear(),Clears the whole red-black tree instance.,O(1),O(1)
to_list(),Converts the red-black tree instance to list.,O(n),O(n)
traverse(),Traverses red-black tree based on given method.,O(n),O(n)
preorder_traverse(),Traverses red-black tree in an pre-order manner.,O(n),O(n)
inorder_traverse(),Traverses red-black tree in an in-order manner.,O(n),O(n)
postorder_traverse(),Traverses red-black tree in an post-order manner.,O(n),O(n)
breadth_first_traverse(),Traverses the red-black tree level by level.,O(n),O(n)
depth_first_traverse(),Traverses red-black tree in an pre-order manner.,O(n),O(n)
get_min(),Gets the minimum number in the red-black tree.,O(h),O(h)
get_max(),Gets the maximum number in the red-black tree.,O(h),O(h)
insert(),Inserts a certain value to the red-black tree.,O(h),O(h)
remove(),Removes a certain value from the red-black tree.,O(h),O(h)
