Method,Description,Worst-case,Optimal
`__init__() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.__init_\_>`_,Initializes the suffix trie.,O(n^2),O(n)
`__len__() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.__len_\_>`_,Returns the number of nodes in the suffix trie.,O(n),O(1)
`__repr__() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.__repr_\_>`_,Represents the suffix trie as a string.,O(n),O(n)
`__iter__() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.__iter_\_>`_,Iterates over the suffix trie.,O(n),O(n)
`get_height() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.get_height>`_,Gets the suffix trie's height.,O(n),O(n)
`get_depth() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.get_depth>`_,Gets the suffix trie's depth.,O(1),O(1)
`count_leaf_nodes() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.count_leaf_nodes>`_,Counts all leaf nodes in the suffix trie.,O(n),O(n)
`to_list() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.to_list>`_,Converts the suffix trie instance to a normal list.,O(n),O(n)
`has_substring() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.has_substring>`_,Searches the suffix trie for a substring.,O(m),O(m)
`to_suffix_array() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.to_suffix_array>`_,Converts the suffix trie to a suffix array.,O(nlog(n)),O(1)
`get_longest_common_substring() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.get_longest_common_substring>`_,Retrieves the longest common substring in the suffix trie.,O(m),O(m)
`get_longest_repeated_substring() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.get_longest_repeated_substring>`_,Retrieves the longest repeated substring in the suffix trie.,O(m),O(m)
`get_lowest_common_ancestor() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.get_lowest_common_ancestor>`_,Retrieves the lowest common ancestor in the suffix trie.,O(m),O(m)
`count_pattern_occurrences() <suffix_trie.html#extra.trees.suffix_trie.SuffixTrie.count_pattern_occurrences>`_,Counts the occurrences of a pattern in the suffix trie.,O(m),O(m)
