Method,Description,Worst-case,Optimal
is_empty(),Checks if the tree is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the tree.,O(n),O(1)
__repr__(),Represents the tree as a string.,O(n),O(n)
__iter__(),Iterates over the tree.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(n),O(n)
get_height(),Gets the tree's height.,O(n),O(n)
get_depth(),Gets the tree's depth.,O(1),O(1)
get_nodes_per_level(),Returns a list of all nodes per level.,O(n),O(n)
count_leaf_nodes(),Counts all leaf nodes in the tree.,O(n),O(n)
clear(),Clears the whole tree instance.,O(1),O(1)
to_list(),Converts the tree instance to  list.,O(n),O(n)
