Method,Description,Worst-case,Optimal
is_empty(),Checks if the trie is empty.,O(1),O(1)
__len__(),Returns the number of nodes in the trie.,O(n),O(1)
__repr__(),Represents the trie as a string.,O(n),O(n)
__iter__(),Iterates over the trie.,O(n),O(n)
__contains__(),Checks the existence of the given item.,O(m),O(1)
get_height(),Gets the trie's height.,O(n),O(n)
get_depth(),Gets the trie's depth.,O(1),O(1)
get_nodes_per_level(),Returns a list of all nodes per level.,O(n),O(n)
count_leaf_nodes(),Counts all leaf nodss in the trie.,O(n),O(n)
clear(),Clears the whole trie instance.,O(1),O(1)
to_list(),Converts the trie instance to  list.,O(n),O(n)
auto_complete(),Autocompletes a substring from the trie.,O(m),O(m)
insert(),Inserts a new word to the trie.,O(m),O(m)
remove(),Removes a word from the trie.,O(m),O(m)
